"claim_filed_by","regular_ui","pua_new","pua_reclassified","peuc_claims","week_ending","median"
"QUEEN ANNES",14,0,0,0,"March 30",44
"SOMERSET",3,0,0,0,"March 30",44
"ST MARYS",25,0,0,0,"March 30",44
"TALBOT",15,0,0,0,"March 30",44
"Unknown",37,0,0,0,"March 30",44
"WASHINGTON",54,0,0,0,"March 30",44
"WICOMICO",25,0,0,0,"March 30",44
"WORCESTER",15,0,0,0,"March 30",44
"ALLEGANY",27,0,0,0,"April 6",31
"ANNE ARUNDEL",240,0,0,0,"April 6",31
"BALTIMORE",490,0,0,0,"April 6",31
"BALTIMORE CITY",419,0,0,0,"April 6",31
"CALVERT",26,0,0,0,"April 6",31
"CAROLINE",13,0,0,0,"April 6",31
"CARROLL",45,0,0,0,"April 6",31
"CECIL",32,0,0,0,"April 6",31
"CHARLES",54,0,0,0,"April 6",31
"DORCHESTER",16,0,0,0,"April 6",31
"FREDERICK",92,0,0,0,"April 6",31
"GARRETT",23,0,0,0,"April 6",31
"HARFORD",119,0,0,0,"April 6",31
"HOWARD",100,0,0,0,"April 6",31
"KENT",2,0,0,0,"April 6",31
"MONTGOMERY",245,0,0,0,"April 6",31
"NON-MARYLAND",214,0,0,1,"April 6",31
"PRINCE GEORGES",249,0,0,0,"April 6",31
"QUEEN ANNES",25,0,0,0,"April 6",31
"SOMERSET",4,0,0,0,"April 6",31
"ST MARYS",12,0,0,0,"April 6",31
"TALBOT",11,0,0,0,"April 6",31
"Unknown",27,0,0,0,"April 6",31
"WASHINGTON",63,0,0,0,"April 6",31
"WICOMICO",30,0,0,0,"April 6",31
"WORCESTER",16,0,0,0,"April 6",31
"ALLEGANY",14,0,0,0,"April 13",24
"ANNE ARUNDEL",201,0,0,0,"April 13",24
"BALTIMORE",475,0,0,0,"April 13",24
"BALTIMORE CITY",354,0,0,0,"April 13",24
"CALVERT",24,0,0,0,"April 13",24
"CAROLINE",8,0,0,0,"April 13",24
"CARROLL",52,0,0,0,"April 13",24
"CECIL",24,0,0,0,"April 13",24
"CHARLES",48,0,0,0,"April 13",24
"DORCHESTER",9,0,0,0,"April 13",24
"FREDERICK",59,0,0,0,"April 13",24
"GARRETT",12,0,0,0,"April 13",24
"HARFORD",123,0,0,0,"April 13",24
"HOWARD",66,0,0,0,"April 13",24
"KENT",4,0,0,0,"April 13",24
"MONTGOMERY",242,0,0,0,"April 13",24
"NON-MARYLAND",171,0,0,0,"April 13",24
"PRINCE GEORGES",264,0,0,0,"April 13",24
